[ 2025-12-24 23:06:35,813 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[ 2025-12-24 23:06:38,093 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[ 2025-12-24 23:06:40,196 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-12-24 23:06:40,206 ] 107 dagshub - INFO - Accessing as udayasankar.jalli
[ 2025-12-24 23:06:42,288 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/udayasankar.jalli/networksecurity "HTTP/1.1 200 OK"
[ 2025-12-24 23:06:44,608 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2025-12-24 23:06:44,613 ] 107 dagshub - INFO - Initialized MLflow to track repo "udayasankar.jalli/networksecurity"
[ 2025-12-24 23:06:44,613 ] 107 dagshub - INFO - Repository udayasankar.jalli/networksecurity initialized!
[ 2025-12-24 23:06:44,613 ] 20 root - INFO - Initiate the data ingestion
[ 2025-12-24 23:06:49,594 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-12-24 23:06:49,594 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-12-24 23:06:49,594 ] 75 root - INFO - Exporting train and test file path.
[ 2025-12-24 23:06:49,839 ] 84 root - INFO - Exported train and test file path.
[ 2025-12-24 23:06:49,845 ] 22 root - INFO - Data Initiation Completed
[ 2025-12-24 23:06:49,874 ] 26 root - INFO - Initiate the data Validation
[ 2025-12-24 23:06:49,965 ] 32 root - INFO - Required number of columns:2
[ 2025-12-24 23:06:49,965 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-24 23:06:49,965 ] 32 root - INFO - Required number of columns:2
[ 2025-12-24 23:06:49,965 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-24 23:06:50,462 ] 28 root - INFO - data Validation Completed
[ 2025-12-24 23:06:50,462 ] 31 root - INFO - data Transformation started
[ 2025-12-24 23:06:50,468 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-12-24 23:06:50,468 ] 65 root - INFO - Starting data transformation
[ 2025-12-24 23:06:50,557 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-12-24 23:06:50,557 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-12-24 23:06:50,592 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-24 23:06:50,596 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-24 23:06:50,596 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-24 23:06:50,605 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-24 23:06:50,609 ] 35 root - INFO - data Transformation completed
[ 2025-12-24 23:06:50,609 ] 37 root - INFO - Model Training sstared
